include_in_paper,scene,scene_cn,difficulty,note,demo_path_length_m,dvn_duration_s,dvn_path_length_m,dvn_final_error_m,dvn_success_1m,dvn_path_ratio_to_demo,vint_duration_s,vint_path_length_m,vint_final_error_m,vint_success_1m,vint_path_ratio_to_demo,final_error_reduction_pct
0,playpen_bizhang,Playpen 避障,短距离室内绕行,路径过短，仅归档，不进入主文,5.45629,248.15,5.794261,0.21474,1,1.0619415390310998,302.11,3.769159,1.582269,0,0.6907915451708029,86.42835067867726
1,indoor_obstacle,室内障碍,室内长走廊/绕障,主文仿真场景,16.21354465609228,766.4159999999993,15.406180120516114,0.9769770472580678,1,0.9502043166561485,203.28199999999924,3.2765294476709266,11.056790509241628,0,0.20208594216563014,91.16400870178848
1,forest,森林道路,户外非结构化,主文仿真场景,21.105295786803495,501.64300000000003,21.652651145456378,0.48498965643691583,1,1.0259345030831137,114.2539999999999,5.103478867006761,14.52276058667612,0,0.24181034554359632,96.66048576961416
1,campus,校园道路,户外长距离,主文仿真场景,31.810865271377416,992.3000000000002,32.47133847896123,0.396963462009761,1,1.0207625036901493,513.5519999999997,13.523898635542025,19.038581525561963,0,0.4251345733657385,97.91495253216851
