method_id,epoch,strategy,action_loss,waypoint_cos,orientation_cos,scorer_top1_oracle_accuracy,oracle_gap,valid_action_count
dvn_k3_w012,14,learned,0.39185848481402497,0.9636683929532917,0.8967810106908148,0.4296180638962287,0.06166882058669032,8326.0
dvn_k3_w012,14,first,0.3992403156128256,0.9631033496000709,0.8962361653406534,,,8326.0
dvn_k3_w012,14,random,0.4071336881191479,0.9638553940845118,0.8968441298990598,,,8326.0
dvn_k3_w012,14,goal_cosine,0.4237531899868864,0.9644168434710427,0.8973815351548831,,,8326.0
dvn_k3_w012,14,oracle,0.33018966422733464,0.965727636258435,0.8991953064969538,,,8326.0
dvn_k1_w012,5,learned,0.4317973783025052,0.9618017772890175,0.8835914365084535,1.0,0.0,8326.0
dvn_k1_w012,5,first,0.4317973783025052,0.9618017772890175,0.8835914365084535,,,8326.0
dvn_k1_w012,5,random,0.4317973783025052,0.9618017772890175,0.8835914365084535,,,8326.0
dvn_k1_w012,5,goal_cosine,0.4317973783025052,0.9618017772890175,0.8835914365084535,,,8326.0
dvn_k1_w012,5,oracle,0.4317973783025052,0.9618017772890175,0.8835914365084535,,,8326.0
dvn_k5_w012,2,learned,0.4684540354970467,0.9560121778286778,0.857611839426302,0.2257987028585155,0.07731626955255716,8326.0
dvn_k5_w012,2,first,0.5011501968121128,0.9560076317524605,0.8582065794436082,,,8326.0
dvn_k5_w012,2,random,0.4836878245054891,0.9559959210744827,0.8578466820421987,,,8326.0
dvn_k5_w012,2,goal_cosine,0.4903396206128573,0.955806755486919,0.8577475845801482,,,8326.0
dvn_k5_w012,2,oracle,0.3911377659444895,0.9592400103957652,0.8630953585564721,,,8326.0
dvn_k3_noreg,3,learned,0.4746157608192407,0.9554891592080529,0.8583541007834392,0.43646408839779005,0.07328031405748964,8326.0
dvn_k3_noreg,3,first,0.47460716468805153,0.9558686031219308,0.8587052658777682,,,8326.0
dvn_k3_noreg,3,random,0.49348251576717783,0.955763592889214,0.8584695447366807,,,8326.0
dvn_k3_noreg,3,goal_cosine,0.5114467498515649,0.956174783957536,0.8588828437270387,,,8326.0
dvn_k3_noreg,3,oracle,0.40133544676175104,0.9595902099200173,0.8652755574611513,,,8326.0
dvn_k3_w012_wolossdyn,5,learned,0.4204976668262587,0.9594485143059666,0.8766161430173623,0.39478741292337255,0.06691164669750965,8326.0
dvn_k3_w012_wolossdyn,5,first,0.4229018524137437,0.9591163223047015,0.876587740360759,,,8326.0
dvn_k3_w012_wolossdyn,5,random,0.43333173847658946,0.9595515619905809,0.8765044940416816,,,8326.0
dvn_k3_w012_wolossdyn,5,goal_cosine,0.43260882486447444,0.9596042402993417,0.8764294631445878,,,8326.0
dvn_k3_w012_wolossdyn,5,oracle,0.35358602012874907,0.9622568811563311,0.8821047260062167,,,8326.0
